Race	Distance	Climb	Time
Greenmantle	2.5	650	16.083
Carnethy	6	2500	48.35
CraigDunain	6	900	33.65
BenRha	7.5	800	45.6
BenLomond	8	3070	62.267
Goatfell	8	2866	73.217
BensofJura	16	7500	204.617
Cairnpapple	6	800	36.367
Scolty	5	800	29.75
Traprain	6	650	39.75
LairigGhru	28	2100	192.667
Dollar	5	2000	43.05
Lomonds	9.5	2200	65
CairnTable	6	500	44.133
EildonTwo	4.5	1500	26.933
Cairngorm	10	3000	72.25
SevenHills	14	2200	98.417
KnockHill	3	350	78.65
BlackHill	4.5	1000	17.417
CreagBeag	5.5	600	32.567
KildconHill	3	300	15.95
MeallAnt-Suidhe	3.5	1500	27.9
HalfBenNevis	6	2200	47.633
CowHill	2	900	17.933
NBerwickLaw	3	600	18.683
CreagDubh	4	2000	26.217
Burnswark	6	800	34.433
LargoLaw	5	950	28.567
Criffel	6.5	1750	50.5
Acmony	5	500	20.95
BenNevis	10	4400	85.583
Knockfarrel	6	600	32.383
TwoBreweries	18	5200	170.25
Cockleroi	4.5	850	28.1
MoffatChase	20	5000	159.833
