Age	Lens
15	21.66
15	22.75
15	22.30
18	31.25
28	44.79
29	40.55
37	50.25
37	46.88
44	52.03
50	63.47
50	61.13
60	81.00
61	73.09
64	79.09
65	79.51
65	65.31
72	71.90
75	86.10
75	94.60
82	92.50
85	105.00
91	101.70
91	102.90
97	110.00
98	104.30
125	134.90
142	130.68
142	140.58
147	155.30
147	152.20
150	144.50
159	142.15
165	139.81
183	153.22
192	145.72
195	161.10
218	174.18
218	173.03
219	173.54
224	178.86
225	177.68
227	173.73
232	159.98
232	161.29
237	187.07
246	176.13
258	183.40
276	186.26
285	189.66
300	186.09
301	186.70
305	186.80
312	195.10
317	216.41
338	203.23
347	188.38
354	189.70
357	195.31
375	202.63
394	224.82
513	203.30
535	209.70
554	233.90
591	234.70
648	244.30
660	231.00
705	242.40
723	230.77
756	242.57
768	232.12
860	246.70
